June,czerwca
itself,się
opposite,i w
student,się że
conditional,Zostałem warunkowo przyjęty do Liceum Żydowskiego
seventh,na
children,dzieci
Elte,Elte w końcu zgodziła się po wielu namowach przyjąć Lies Goslar i mnie
agreed,się
persuasion,i nie
accept,i
repeat,z nie
geometry,literatura
exam,Kłamstwa również zdała w tym roku choć musi powtórzyć egzamin z geometrii
Poor,Biedny
easy,nie
study,się i
spoiled,i
plays,i
Gabi,nie
starts,i
screaming,nie i
look,i
tutoring,mnie korepetycji nie
getting,się
household,nie i
hired,z
absentminded,Jest wynajęta dziewczyna dziecko zawsze roztargniony i
absent,nieobecny
irritable,i
expecting,się
thumbs,Kłamstwo które ma tylko kciuki gubi się w chaosie
lost,i
mayhem,Kłamstwo które ma tylko kciuki gubi się w chaosie
Brilliant,Genialne jak zwykle
usual,i
cum,cum laude
laude,cum laude
honors,przeszłaby z wyróżnieniem jest taka mądra
office,w
must,i
awful,i
needed,i
Kleiman,Kleiman
taken,i
Kugler,Kugler
Gies,Gies
Co,Co
dealing,i
spices,i
spice,i
substitutes,Kugler Gies Co firma zajmująca się przyprawami i substytutami przypraw założona w 1941 roku
ago,temu
stroll,Kilka dni temu kiedy spacerowaliśmy po naszym sąsiedzkim placu ojciec zaczął mówić o tym jak się ukrywać
neighborhood,w
square,i
hiding,się
cut,i
bringing,do na
replied,odpowiedział
food,i
furniture,meble
belongings,rzeczy
seized,i mnie
Nor,Nie
fall,i
clutches,się
accord,nie
hauled,i
sounded,i
serious,i
scared,się
Don,Nie
enjoy,się
carefree,beztroskie szczęśliwe
somber,Och niech te ponure słowa nie sprawdzają się tak długo jak to możliwe
possible,się jak i
doorbell,dzwonek do drzwi
ringing,dzwonek do się mi w mnie na
stop,się
upside,się do góry nogami
alive,i
main,z główny ze mną się
balcony,się
lazily,Nie słyszałem tego ponieważ byłem na balkonie i leniwie czytałem w słońcu
reading,i
sun,i
appeared,się
kitchen,w kuchni i
doorway,na
agitated,się
received,i
notice,nie
SS,SS
Daan,van Daan
partner,i
stunned,oszołomiony
Visions,Przez głowę przemknęły mi wizje obozów koncentracyjnych i samotnych cel
concentration,i
camps,i
lonely,i
cells,i
raced,i
head,i
fate,i
declared,że
move,się
Daans,van
altogether,Jesteś
visiting,i
Hospital,nie
unaware,nie
happening,się
suspense,w
reduced,nie do
silence,i
Suddenly,Nagle
exclaimed,zawołała
necessary,się
downstairs,na
inside,i
shut,i
Every,się
tiptoe,na
bedroom,i
shock,i
cry,i
apparently,najwyraźniej
send,i
thank,Bogu dziękuję z
herself,się i
meant,że się
city,w i
country,i
shack,W
questions,i
running,i
packing,i
important,to nie
curlers,w
handkerchiefs,do i
schoolbooks,i
comb,grzebień i
letters,nie że
Preoccupied,Zaabsorbowany myślą o ukryciu się wsadziłem do torby najbardziej szalone rzeczy ale nie jest mi przykro
craziest,Zaabsorbowany myślą o ukryciu się wsadziłem do torby najbardziej szalone rzeczy ale nie jest mi przykro
Memories,Wspomnienia znaczą dla mnie więcej niż sukienki
Miep,Miep
arrived,i
promised,nie
return,i do
shoes,i
jackets,i
underwear,i
stockings,i
apartment,i
eating,nie i
rented,na
upstairs,na
Goldschmidt,Goldschmidt do
divorced,do
thirties,do
despite,pomimo się i
hints,wskazówki
eleven,jedenastej
worked,i
close,się i
husband,i nie
Once,raz i
disappeared,i w zniknęła
deep,i
pockets,i
knew,i że
bed,i się w
wake,się
warm,i
rain,i
throughout,ciepły deszcz padał przez cały dzień Gorączka inwazyjna narasta codziennie w całym kraju
wrapped,i
layers,to
looked,na i
refrigerator,to
Jew,Żyd w z co jeden
situation,i
suitcase,z
wearing,i
undershirts,podkoszulki
pairs,pary
underpants,i
dress,i
skirt,1
jacket,i
raincoat,1
heavy,i w
cap,i
scarf,i
suffocating,się
bothered,się nie
stuffed,Margot wypchała swoją tornister podręcznikami szkolnymi poszła po rower i z Miep na czele odjechała w wielką nieznaną Następnie Peter złagodził to przybijając do futryny ręcznik wypchany wiórami drewna
leading,i do
rode,na
unknown,w
rate,każdym razie
closed,i
creature,i
bye,widzenia
According,Według
neighbors,z
stripped,w
beds,i
breakfast,na i
pound,guldenów
meat,i
created,w
impression,wrażenie
hurry,w się i
impressions,i
reach,do
destination,Chcieliśmy tylko się stamtąd wydostać uciec i bezpiecznie dotrzeć do celu
safety,i
Nothing,Nic
mattered,Nic innego się nie liczyło Nie miało znaczenia czy irytowała go moja ciekawość
More,Więcej Bardziej niż
THURSDAY,CZWARTEK
9,9
walking,i
pouring,i
filled,i
brim,po
varied,i
assortment,z
items,i 4
early,wcześnie
sympathetic,tak na a
faces,i
conspicuous,i
spoke,i
reveal,do
plan,że
For,i
months,miesięcy
moving,się
apparel,i
July,lipca
16,16
moved,się
less,mniej
orderly,się
rooms,i
located,się
building,w
outsiders,jak
explain,i nie
working,i
typist,Kleiman Miep i dwudziestotrzyletnia maszynistka imieniem Bep Voskuijl wszyscy zostali poinformowani o naszym przybyciu
Bep,Bep
Voskuijl,Voskuijl
informed,że
coming,i
warehouse,magazynu
assistants,z nie
Here,Oto Tutaj
description,opis
large,i
ground,i
floor,na i
workroom,i
storeroom,i
divided,i
different,i
sections,i
stockroom,i
milling,i
cinnamon,i
cloves,i
pepper,i
substitute,i
Next,i
doors,drzwi i
outside,na
separate,i
entrance,wejście
beyond,się poza
stairway,za schodach na i po
frosted,U szczytu schodów są kolejne drzwi z matowym okienkiem na którym widnieje napis
black,i
front,i
light,i
alcove,i do
containing,i
wardrobe,w i
supply,i
cupboard,i
dark,i
stuffy,Po przejściu przez wnękę w której znajduje się sejf garderoba i duża szafka z zapasami dochodzisz do małego ciemnego dusznego zaplecza
shared,się z nie
occupant,i jego z
reached,do
hallway,na
glass,i
opened,i
proceed,i w
narrow,i
coal,do
bin,do
steps,i
yourself,i się
private,i w
showpiece,i w
Elegant,Eleganckie mahoniowe meble wykładzina z linoleum radio fantazyjna lampka wszystko w pierwszej klasie
mahogany,z
linoleum,linoleum
covered,i
throw,i
rugs,Eleganckie mahoniowe meble wykładzina z linoleum radio fantazyjna lampka wszystko w pierwszej klasie Codziennie gazety są wypełnione zawiadomieniami o nagrodach za zwrot skradzionych maszyn do pisania perskich dywaników zegarów elektrycznych tkanin itp
radio,w i
fancy,nie
lamp,i
spacious,i
water,i
heater,z
gas,gaz
burners,Obok jest przestronna kuchnia z bojlerem i dwoma palnikami gazowymi a obok łazienka
beside,i obok
bathroom,łazienki
wooden,i
staircase,i
leads,do
landing,na
takes,i
storage,do strychu
area,strychu i w na
attic,na
loft,na
typically,w mnie jak
steep,na
ankle,na jest
twisting,w i
flight,i
runs,w i
opening,i się
onto,w do
Secret,o
Annex,w
suspect,w
plain,i
gray,z
step,i
Straight,Na wprost Ciebie znajdują się strome schody
ahead,na przed
serves,Po lewej stronie jest wąski korytarz prowadzący do pokoju w którym mieszka rodzina Frank Za opłatą pomarańczy zwolniłem małą sierotę która służy mi jako służebnica
smaller,z
ladies,i
windowless,jest z na
washroom,z
link,jest z
corner,w i
toilet,i
canal,i
contains,się z że
stove,i do
fact,że
laboratory,to
sink,i się w
general,i
tiny,i
lovely,i
FRIDAY,PIĄTEK
10,10
figure,postać i
continue,nie
story,i
263,do i
Prinsengracht,do i
led,do
earlier,wcześniej
stuff,i
describe,opisać
cardboard,na
boxes,pudła i
piled,i
floors,w
ceiling,i
linens,Mały pokój był wypełniony od podłogi do sufitu pościelą
sleep,w i nie
properly,nie
straighten,i
unable,i nie
muscle,nie
bare,i
mattresses,i
tired,i
miserable,i nieszczęśliwy
cleaner,w Na odkurzacz przez co
uppers,Ale ojciec i ja dwoje sprzątaczek w rodzinie od razu zaczęliśmy
unpacked,w
cupboards,szafki i w
hammered,w
nails,nie
straightened,w
clean,i
eaten,nie
meal,posiłku i
keyed,i
Tuesday,wtorek
grocery,i
ration,na
coupons,i
blackout,i
screens,i na z
scrubbed,i
once,i
sunup,i
sundown,i
chance,nie
enormous,w i
found,i
yet,nie
happen,się
11,11
chiming,i Westertoren
Westertoren,Westertoren
tells,mi
every,i
liked,i
sounds,to
reassuring,że
doubt,wątpienia
hate,i
pension,To bardziej jak na wakacjach w jakimś dziwnym pensjonacie
Kind,Dziwny sposób patrzenia na życie w ukryciu ale tak właśnie jest
odd,to
ideal,w
damp,i
lopsided,Może jest wilgotno i krzywo ale prawdopodobnie nie ma wygodniejszej kryjówki w całym Amsterdamie
comfortable,nie się
Up,Do tej pory
blank,i
walls,i
Thanks,Dzięki
postcard,całą pocztówkę i mi
collection,i
beforehand,i
brush,i
pot,i
glue,i
plaster,i
pictures,i
build,i
odds,z się
ends,i
recovered,i
cook,i
split,na
pea,na z
soup,i zupy fasoli
forgot,i o
beans,fasoli
scorched,i
amount,i
scraping,Fasola była przypalona na czarno i żadna ilość skrobania nie mogła ich wydostać z patelni
pan,na
Last,nocy
listened,i
England,w Anglii
might,i
literally,że dosłownie
begged,błagałem o
understood,i
Whatever,Cokolwiek
immediately,i
sewing,i
curtains,i
scraps,się i ja ich rozmowy w
fabric,i
varying,i
greatly,i
shape,w
quality,i
pattern,i
stitched,i
crookedly,i
unskilled,i
fingers,palce
art,nie i
tacked,do
windows,i
branch,po
Keg,w
firm,i
Zaandam,po
workshop,po
premises,nie
sound,i
travel,się
cough,i
giving,i w
doses,chociaż jest przeziębiona i podaje jej duże dawki kodeiny
codeine,kodeiny
forward,i
fun,nie
makes,że
nights,i
helpers,i
cooking,i
listen,i
helped,i
canned,na
loads,mnóstwo i na o
rhubarb,Mamy już mnóstwo rabarbaru truskawek i wiśni w puszkach więc na razie wątpię żebyśmy się nudzili
strawberries,z
cherries,i
material,jej
buy,i
pit,to
crates,skrzynie dla i
empty,i
bookshelves,Z pustych skrzyń zrobimy półki na książki Teraz nauczę cię grzebać w moich półkach z książkami
Someone,Ktoś do mnie dzwoni
calling,do
2g,1942
upsets,i
terrified,i
discovered,i że
shot,i
fairly,dość
dismal,do
prospect,i
month,miesiąc
drifting,i
praised,mnie
picking,i
example,przykład
vacuum,Na odkurzacz przez co
otherwise,w
known,nie
yank,w
plug,w przeciwnym razie wiedziałbyś lepiej niż wyciągać wtyczkę za przewód
cord,za i
reply,odpowiedź
rewrite,Ale tego popołudnia kiedy chciałem przepisać coś na liście zakupów mamy ponieważ jej pismo jest tak trudne do odczytania nie pozwoliła mi
list,na
handwriting,Ale tego popołudnia kiedy chciałem przepisać coś na liście zakupów mamy ponieważ jej pismo jest tak trudne do odczytania nie pozwoliła mi i przeczytałem wyrysowanym indyjskim atramentem własnym pismem słowa Jane Eyre dzieło niewątpliwie o pewnym momencie abstrakcji
wouldn,nie
bawled,Znowu mnie wykrzyczała i cała rodzina się w to zaangażowała van Daan wrzeszczał na niego ale może winić tylko siebie
wound,i się
involved,w
fit,do się
weeks,i tygodni
sentimental,sentymentalny
rather,raczej
understands,rozumie
sides,i
Another,się
cried,i
sensibly,jak
behaving,być
horrible,się
weak,słaby
miss,za
minute,i
fill,i
dreaming,i
plenty,jest
dreams,i
reality,się
visitors,w
hasn,nie
dangerous,to
IN,KOMENTARZ DODANY PRZEZ ANNE WE WRZESIEŃ 1942
sometime,że kiedyś
bursting,o
instantly,natychmiast
confided,Do tej pory tylko zwierzyłem swoje myśli memu pamiętnikowi Powinienem mu się zwierzyć
thoughts,myśli
amusing,się na i
sketches,i
aloud,głośno
devote,i się
sentimentality,W przyszłości mniej czasu poświęcę sentymentalizmowi a więcej rzeczywistości
AUGUST,SIERPNIA
deserted,się nie
newsworthy,się
item,jednej rzeczy
relate,się
single,nie w
13,13
fourteenth,że dzień za
thirteenth,że dzień za
sixteenth,że
sending,do
notices,za
causing,i
unrest,że dzień za
safer,że bezpieczniej dzień za niż
late,późno
awkward,jest
whose,i
half,i
Much,się
amusement,do
carrying,na w do i
hatbox,van Daan niósł pudełko na kapelusze z dużym nocnikiem w środku
chamber,w
permanent,i
divan,na
Instead,Zamiast
lugging,taszczył pod pachą składany stolik do herbaty
collapsible,taszczył pod pachą składany stolik do herbaty
ate,z
meals,w
Naturally,Oczywiście
civilization,Oczywiście van Daans miał wiele do powiedzenia o tygodniu w którym byliśmy z dala od cywilizacji
phoned,do
straightaway,Poszedłem od razu i znalazłem bardzo zrozpaczonego pana
distraught,bardzo Miep
instructed,do na
searched,i
straightening,się i
clearing,i
notepad,Nagle zobaczyłem notatnik o pani
address,do
Maastricht,Maastricht
purpose,do
pretended,i
horrified,i
burn,i w
incriminating,Goldschmidt do spalenia tej obciążającej kartki papieru
piece,i
swore,że
disappearance,Przysięgałem że nic nie wiem o twoim zniknięciu ale list dał mi pewien pomysł
given,i
refers,się
About,do i
ranking,Jakieś sześć miesięcy temu do biura przyszedł wysoki rangą oficer
officer,i
grew,i
recall,sobie
stationed,i tam na
somehow,i się
cross,i
Switzerland,w do Szwajcarii
harm,nie
Franks,o
mention,o
laughed,się
harder,to
vivid,i
imaginations,jak
claimed,że a w
riding,na
bikes,na że w
woman,i
positive,w
loaded,i
military,że
vehicle,do
secret,w
houses,i
hidden,i się
bookcase,i
built,i
swings,się
hinges,się
opens,otwiera
carpentry,na do
jump,i
bumps,na
foreheads,Po pierwszych trzech dniach wszyscy chodziliśmy z uderzeniami na czołach od uderzania głowami o niskie drzwi
banging,z drzwi
heads,na i
low,i
cushioned,na
nailing,Następnie Peter złagodził to przybijając do futryny ręcznik wypchany wiórami drewna
towel,do i
shavings,w
doorframe,Następnie Peter złagodził to przybijając do futryny ręcznik wypchany wiórami drewna
helps,i
schoolwork,w
washed,i
loggerheads,van i
treats,mnie
lies,leży się i
rousing,się
returning,do
nap,na
dope,narkotyk
dreadful,i
sermons,się
view,na
sweetheart,jest
lasts,trwa
spite,i
lounging,na
folding,na
pie,z i
recently,niedawno się
enjoying,się
dream,i
shouting,i
argument,na się i
trivial,i
worth,nie
wasting,na
difficult,nie i
seriously,poważnie
hypersensitive,Petera
tongue,język i
instead,zamiast
pink,i
rare,i
phenomenon,To rzadkie zjawisko zniknęło tak szybko jak się pojawiło
Today,Dziś
neck,i
Highness,Jego Wysokość też narzekała na lumbago Dzisiaj są osiemnaste urodziny Jej Królewskiej Wysokości Księżniczki Elżbiety z Yorku
complaining,nie
lumbago,Jego Wysokość też narzekała na lumbago
Aches,Bóle w sercu nerkach i płucach są również normalne
pains,i
kidneys,Bóle w sercu nerkach i płucach są również normalne
lungs,w na
par,i za
absolute,w
hypochondriac,czasu w twoim
aren,nie
friction,Jest wystarczająco dużo powodów do tego tarcia
removed,i
sheets,i
communal,z
linen,i
assuming,i
families,i
nasty,jak
discovers,Będzie miała paskudną niespodziankę gdy odkryje że matka poszła za jej przykładem
lead,do i
Furthermore,że
ticked,jest odznaczona ponieważ używamy jej porcelany zamiast naszej zegarek tykał
china,i
ours,w ich
done,i
plates,i
packed,w
load,na
advertising,są w
remain,nie
accidents,wypadki
bowls,Miski do zupy van D
angrily,ze złością
Can,Czy
careful,i
Please,Pamiętaj Kitty że obie panie mówią ohydnym holenderskim
bear,i
abominable,Pamiętaj Kitty że obie panie mówią ohydnym holenderskim Jane nie będę cię niepokoić ohydnymi szczegółami
comment,że
gentlemen,i
highly,się że
bungled,Gdybyś miał usłyszeć ich nieudane próby śmiałbyś się do rozpuku
attempts,i w
pointing,na
errors,ich i
correcting,ich nie Margot
anyway,i
Whenever,Ilekroć i na
quote,Ilekroć cytuję Matkę lub Panią Wręcz przeciwnie dziś mogę spokojnie zacytować to powiedzenie dlatego zacytuję tutaj ten wiersz
proper,w
duplicate,że pana
speech,przemówienie
interruption,w
monotonous,się
routine,w
provided,i
lends,Pożycza nam Kleiman
adults,dla
preferred,się i
themselves,się
piqued,ciekawość i
fruit,i
contain,na i
snuck,na i
booty,się z na i
mum,do
threw,i na
assumed,się
neglected,i
son,i
account,z
least,przynajmniej
fazed,Peter wcale nie speszony szybkim działaniem ojca zaczął wymyślać sposoby na przeczytanie pozostałej części tej niezwykle interesującej książki
swift,z
action,i
ways,się
vastly,Peter wcale nie speszony szybkim działaniem ojca zaczął wymyślać sposoby na przeczytanie pozostałej części tej niezwykle interesującej książki
interesting,interesujące
meantime,międzyczasie
particular,jej
letting,nie
Said,van Daan Mother Said istnieje duża różnica między
mature,to bardziej dojrzały
Second,Po drugie
Third,Po trzecie
intellectually,jest intelektualnie
advanced,i
result,i się nie
excellent,i
principle,i
youngsters,dla
Meanwhile,W międzyczasie
listening,i
treasure,skarb i
stole,i
engrossed,że w
entered,i do
scene,i
slap,i na
whack,uderzeniu na
tug,uderzeniu i na był
matters,i
stood,i
dinner,na
continued,i
chatting,i
merrily,wesoło
piercing,i
whistle,na
forks,na
stared,na
visible,i
pale,i
chimney,i
leapt,i
napkin,van Daan poderwał się jego serwetka spadła na podłogę i krzyknął a krew napłynęła mu do twarzy
shouted,na i krzyknął a
blood,i
rushing,i
grabbed,i
struggling,i
kicking,i
save,i
bread,i
adamant,nieugięty
protested,Protestowaliśmy że wyjście bez obiadu to wystarczająca kara Ojciec jednak stanowczo zaprotestował ponieważ sam słyszał jak nic takiego nie mówiłem Zaprotestowałem
doctor,lekarza
returned,i
slept,że i
persuaded,nie
friendly,mnie i się
sullen,i
stubborn,uparty
normal,do
news,wiadomości
mounted,na
above,i
guns,w i
pull,strąk
switch,w
male,z jest narząd płciowy
members,i
contingent,kontyngentu z i
handy,Męscy członkowie kontyngentu van Daana zbudowali bardzo poręczny poplamiony drewnem sejf na żywność z prawdziwymi ekranami Został zatrudniony za znajomość przypraw a jednak ku naszej wielkiej radości przydały się teraz jego kiełbasiane talenty Jest pojętna i poręczna
stained,i
glorious,w na i to z
fresh,i
air,i
Where,Gdzie
shelf,i na
advised,i
underneath,pod
add,i
rug,i na
hang,w
stands,stoi
cubbyhole,To mogłoby uczynić jego małą kajutę wygodniejszą chociaż z pewnością nie chciałbym tam spać van Daan żeby zbudował mi schowek na strychu
comfy,To mogłoby uczynić jego małą kajutę wygodniejszą chociaż z pewnością nie chciałbym tam spać
certainly,z pewnością
unbearable,nie
continually,nieustannie
scolded,za i się
incessant,o
chatter,się
simply,prostu
bounce,Po prostu pozwalam słowom odbijać się ode mnie
Madame,Madame
new,i
sleeve,w rękawie
washing,i
pots,i
pans,i
bottom,na
leaves,i
spoil,je do
transferring,je do
dish,nie i w
cleaning,i
exclaims,A potem po południu kiedy Margot jest skazana na czyszczenie wszystkich garnków i patelni wykrzykuje Madame
couple,kilka się
enthusiastic,na i
loop,Jestem entuzjastą serii loop ter Heul
ter,Jestem entuzjastą serii loop ter Heul
Heul,Jestem entuzjastą serii loop ter Heul
enjoyed,się
Cissy,Cissy van Marxveldt
Marxveldt,Cissy van Marxveldt
Zaniest,Czytałem Zaniest Summer cztery razy a śmieszne sytuacje wciąż mnie rozśmieszają
